filename,class_idx
image_0_label_frog.png,6
image_1_label_truck.png,9
image_2_label_truck.png,9
image_3_label_deer.png,4
image_4_label_automobile.png,1
image_5_label_automobile.png,1
image_6_label_bird.png,2
image_7_label_horse.png,7
image_8_label_ship.png,8
image_9_label_cat.png,3
image_10_label_deer.png,4
image_11_label_horse.png,7
image_12_label_horse.png,7
image_13_label_bird.png,2
image_14_label_truck.png,9
image_15_label_truck.png,9
image_16_label_truck.png,9
image_17_label_cat.png,3
image_18_label_bird.png,2
image_19_label_frog.png,6
image_20_label_deer.png,4
image_21_label_cat.png,3
image_22_label_frog.png,6
image_23_label_frog.png,6
image_24_label_bird.png,2
image_25_label_frog.png,6
image_26_label_cat.png,3
image_27_label_dog.png,5
image_28_label_deer.png,4
image_29_label_airplane.png,0
image_30_label_airplane.png,0
image_31_label_truck.png,9
image_32_label_automobile.png,1
image_33_label_cat.png,3
image_34_label_deer.png,4
image_35_label_airplane.png,0
image_36_label_cat.png,3
image_37_label_horse.png,7
image_38_label_cat.png,3
image_39_label_cat.png,3
image_40_label_dog.png,5
image_41_label_bird.png,2
image_42_label_bird.png,2
image_43_label_horse.png,7
image_44_label_automobile.png,1
image_45_label_automobile.png,1
image_46_label_automobile.png,1
image_47_label_bird.png,2
image_48_label_bird.png,2
image_49_label_airplane.png,0
image_50_label_truck.png,9
image_51_label_dog.png,5
image_52_label_horse.png,7
image_53_label_truck.png,9
image_54_label_bird.png,2
image_55_label_bird.png,2
image_56_label_dog.png,5
image_57_label_bird.png,2
image_58_label_deer.png,4
image_59_label_cat.png,3
image_60_label_automobile.png,1
image_61_label_automobile.png,1
image_62_label_ship.png,8
image_63_label_bird.png,2
image_64_label_automobile.png,1
image_65_label_automobile.png,1
image_66_label_deer.png,4
image_67_label_truck.png,9
image_68_label_horse.png,7
image_69_label_ship.png,8
image_70_label_dog.png,5
image_71_label_truck.png,9
image_72_label_frog.png,6
image_73_label_horse.png,7
image_74_label_cat.png,3
image_75_label_automobile.png,1
image_76_label_truck.png,9
image_77_label_airplane.png,0
image_78_label_cat.png,3
image_79_label_automobile.png,1
image_80_label_cat.png,3
image_81_label_dog.png,5
image_82_label_deer.png,4
image_83_label_dog.png,5
image_84_label_horse.png,7
image_85_label_horse.png,7
image_86_label_deer.png,4
image_87_label_horse.png,7
image_88_label_truck.png,9
image_89_label_deer.png,4
image_90_label_bird.png,2
image_91_label_cat.png,3
image_92_label_ship.png,8
image_93_label_airplane.png,0
image_94_label_automobile.png,1
image_95_label_frog.png,6
image_96_label_automobile.png,1
image_97_label_automobile.png,1
image_98_label_deer.png,4
