filename,labelname
image_0_label_frog.png,frog
image_1_label_truck.png,truck
image_2_label_truck.png,truck
image_3_label_deer.png,deer
image_4_label_automobile.png,automobile
image_5_label_automobile.png,automobile
image_6_label_bird.png,bird
image_7_label_horse.png,horse
image_8_label_ship.png,ship
image_9_label_cat.png,cat
image_10_label_deer.png,deer
image_11_label_horse.png,horse
image_12_label_horse.png,horse
image_13_label_bird.png,bird
image_14_label_truck.png,truck
image_15_label_truck.png,truck
image_16_label_truck.png,truck
image_17_label_cat.png,cat
image_18_label_bird.png,bird
image_19_label_frog.png,frog
image_20_label_deer.png,deer
image_21_label_cat.png,cat
image_22_label_frog.png,frog
image_23_label_frog.png,frog
image_24_label_bird.png,bird
image_25_label_frog.png,frog
image_26_label_cat.png,cat
image_27_label_dog.png,dog
image_28_label_deer.png,deer
image_29_label_airplane.png,airplane
image_30_label_airplane.png,airplane
image_31_label_truck.png,truck
image_32_label_automobile.png,automobile
image_33_label_cat.png,cat
image_34_label_deer.png,deer
image_35_label_airplane.png,airplane
image_36_label_cat.png,cat
image_37_label_horse.png,horse
image_38_label_cat.png,cat
image_39_label_cat.png,cat
image_40_label_dog.png,dog
image_41_label_bird.png,bird
image_42_label_bird.png,bird
image_43_label_horse.png,horse
image_44_label_automobile.png,automobile
image_45_label_automobile.png,automobile
image_46_label_automobile.png,automobile
image_47_label_bird.png,bird
image_48_label_bird.png,bird
image_49_label_airplane.png,airplane
image_50_label_truck.png,truck
image_51_label_dog.png,dog
image_52_label_horse.png,horse
image_53_label_truck.png,truck
image_54_label_bird.png,bird
image_55_label_bird.png,bird
image_56_label_dog.png,dog
image_57_label_bird.png,bird
image_58_label_deer.png,deer
image_59_label_cat.png,cat
image_60_label_automobile.png,automobile
image_61_label_automobile.png,automobile
image_62_label_ship.png,ship
image_63_label_bird.png,bird
image_64_label_automobile.png,automobile
image_65_label_automobile.png,automobile
image_66_label_deer.png,deer
image_67_label_truck.png,truck
image_68_label_horse.png,horse
image_69_label_ship.png,ship
image_70_label_dog.png,dog
image_71_label_truck.png,truck
image_72_label_frog.png,frog
image_73_label_horse.png,horse
image_74_label_cat.png,cat
image_75_label_automobile.png,automobile
image_76_label_truck.png,truck
image_77_label_airplane.png,airplane
image_78_label_cat.png,cat
image_79_label_automobile.png,automobile
image_80_label_cat.png,cat
image_81_label_dog.png,dog
image_82_label_deer.png,deer
image_83_label_dog.png,dog
image_84_label_horse.png,horse
image_85_label_horse.png,horse
image_86_label_deer.png,deer
image_87_label_horse.png,horse
image_88_label_truck.png,truck
image_89_label_deer.png,deer
image_90_label_bird.png,bird
image_91_label_cat.png,cat
image_92_label_ship.png,ship
image_93_label_airplane.png,airplane
image_94_label_automobile.png,automobile
image_95_label_frog.png,frog
image_96_label_automobile.png,automobile
image_97_label_automobile.png,automobile
image_98_label_deer.png,deer
image_99_label_automobile.png,automobile
image_100_label_ship.png,ship
image_101_label_cat.png,cat
image_102_label_truck.png,truck
image_103_label_frog.png,frog
image_104_label_frog.png,frog
image_105_label_automobile.png,automobile
image_106_label_ship.png,ship
image_107_label_dog.png,dog
image_108_label_bird.png,bird
image_109_label_truck.png,truck
image_110_label_truck.png,truck
image_111_label_ship.png,ship
image_112_label_automobile.png,automobile
image_113_label_horse.png,horse
image_114_label_horse.png,horse
image_115_label_airplane.png,airplane
image_116_label_airplane.png,airplane
image_117_label_frog.png,frog
image_118_label_truck.png,truck
image_119_label_automobile.png,automobile
image_120_label_bird.png,bird
image_121_label_bird.png,bird
image_122_label_truck.png,truck
image_123_label_bird.png,bird
image_124_label_frog.png,frog
image_125_label_frog.png,frog
image_126_label_automobile.png,automobile
image_127_label_truck.png,truck
image_128_label_dog.png,dog
image_129_label_airplane.png,airplane
image_130_label_deer.png,deer
image_131_label_horse.png,horse
image_132_label_frog.png,frog
image_133_label_horse.png,horse
image_134_label_automobile.png,automobile
image_135_label_ship.png,ship
image_136_label_automobile.png,automobile
image_137_label_automobile.png,automobile
image_138_label_bird.png,bird
image_139_label_ship.png,ship
image_140_label_automobile.png,automobile
image_141_label_cat.png,cat
image_142_label_cat.png,cat
image_143_label_frog.png,frog
image_144_label_bird.png,bird
image_145_label_deer.png,deer
image_146_label_truck.png,truck
image_147_label_truck.png,truck
image_148_label_dog.png,dog
image_149_label_deer.png,deer
image_150_label_cat.png,cat
image_151_label_frog.png,frog
image_152_label_horse.png,horse
image_153_label_deer.png,deer
image_154_label_frog.png,frog
image_155_label_ship.png,ship
image_156_label_dog.png,dog
image_157_label_dog.png,dog
image_158_label_deer.png,deer
image_159_label_cat.png,cat
image_160_label_automobile.png,automobile
image_161_label_ship.png,ship
image_162_label_deer.png,deer
image_163_label_horse.png,horse
image_164_label_frog.png,frog
image_165_label_airplane.png,airplane
image_166_label_truck.png,truck
image_167_label_dog.png,dog
image_168_label_automobile.png,automobile
image_169_label_cat.png,cat
image_170_label_ship.png,ship
image_171_label_bird.png,bird
image_172_label_horse.png,horse
image_173_label_dog.png,dog
image_174_label_cat.png,cat
image_175_label_deer.png,deer
image_176_label_automobile.png,automobile
image_177_label_dog.png,dog
image_178_label_horse.png,horse
image_179_label_airplane.png,airplane
image_180_label_deer.png,deer
image_181_label_horse.png,horse
image_182_label_dog.png,dog
image_183_label_dog.png,dog
image_184_label_automobile.png,automobile
image_185_label_airplane.png,airplane
image_186_label_truck.png,truck
image_187_label_frog.png,frog
image_188_label_truck.png,truck
image_189_label_airplane.png,airplane
image_190_label_ship.png,ship
image_191_label_horse.png,horse
image_192_label_ship.png,ship
image_193_label_ship.png,ship
image_194_label_bird.png,bird
image_195_label_dog.png,dog
image_196_label_bird.png,bird
image_197_label_cat.png,cat
image_198_label_dog.png,dog
image_199_label_airplane.png,airplane
