filename,class
image_0_label_frog.png,frog
image_1_label_truck.png,truck
image_2_label_truck.png,truck
image_3_label_deer.png,deer
image_4_label_automobile.png,automobile
image_5_label_automobile.png,automobile
image_6_label_bird.png,bird
image_7_label_horse.png,horse
image_8_label_ship.png,ship
image_9_label_cat.png,cat
image_10_label_deer.png,deer
image_11_label_horse.png,horse
image_12_label_horse.png,horse
image_13_label_bird.png,bird
image_14_label_truck.png,truck
image_15_label_truck.png,truck
image_16_label_truck.png,truck
image_17_label_cat.png,cat
image_18_label_bird.png,bird
image_19_label_frog.png,frog
image_20_label_deer.png,deer
image_21_label_cat.png,cat
image_22_label_frog.png,frog
image_23_label_frog.png,frog
image_24_label_bird.png,bird
image_25_label_frog.png,frog
image_26_label_cat.png,cat
image_27_label_dog.png,dog
image_28_label_deer.png,deer
image_29_label_airplane.png,airplane
image_30_label_airplane.png,airplane
image_31_label_truck.png,truck
image_32_label_automobile.png,automobile
image_33_label_cat.png,cat
image_34_label_deer.png,deer
image_35_label_airplane.png,airplane
image_36_label_cat.png,cat
image_37_label_horse.png,horse
image_38_label_cat.png,cat
image_39_label_cat.png,cat
image_40_label_dog.png,dog
image_41_label_bird.png,bird
image_42_label_bird.png,bird
image_43_label_horse.png,horse
image_44_label_automobile.png,automobile
image_45_label_automobile.png,automobile
image_46_label_automobile.png,automobile
image_47_label_bird.png,bird
image_48_label_bird.png,bird
image_49_label_airplane.png,airplane
image_50_label_truck.png,truck
image_51_label_dog.png,dog
image_52_label_horse.png,horse
image_53_label_truck.png,truck
image_54_label_bird.png,bird
image_55_label_bird.png,bird
image_56_label_dog.png,dog
image_57_label_bird.png,bird
image_58_label_deer.png,deer
image_59_label_cat.png,cat
image_60_label_automobile.png,automobile
image_61_label_automobile.png,automobile
image_62_label_ship.png,ship
image_63_label_bird.png,bird
image_64_label_automobile.png,automobile
image_65_label_automobile.png,automobile
image_66_label_deer.png,deer
image_67_label_truck.png,truck
image_68_label_horse.png,horse
image_69_label_ship.png,ship
image_70_label_dog.png,dog
image_71_label_truck.png,truck
image_72_label_frog.png,frog
image_73_label_horse.png,horse
image_74_label_cat.png,cat
image_75_label_automobile.png,automobile
image_76_label_truck.png,truck
image_77_label_airplane.png,airplane
image_78_label_cat.png,cat
image_79_label_automobile.png,automobile
image_80_label_cat.png,cat
image_81_label_dog.png,dog
image_82_label_deer.png,deer
image_83_label_dog.png,dog
image_84_label_horse.png,horse
image_85_label_horse.png,horse
image_86_label_deer.png,deer
image_87_label_horse.png,horse
image_88_label_truck.png,truck
image_89_label_deer.png,deer
image_90_label_bird.png,bird
image_91_label_cat.png,cat
image_92_label_ship.png,ship
image_93_label_airplane.png,airplane
image_94_label_automobile.png,automobile
image_95_label_frog.png,frog
image_96_label_automobile.png,automobile
image_97_label_automobile.png,automobile
image_98_label_deer.png,deer
image_99_label_automobile.png,automobile
image_100_label_ship.png,ship
image_101_label_cat.png,cat
image_102_label_truck.png,truck
image_103_label_frog.png,frog
image_104_label_frog.png,frog
image_105_label_automobile.png,automobile
image_106_label_ship.png,ship
image_107_label_dog.png,dog
image_108_label_bird.png,bird
image_109_label_truck.png,truck
image_110_label_truck.png,truck
image_111_label_ship.png,ship
image_112_label_automobile.png,automobile
image_113_label_horse.png,horse
image_114_label_horse.png,horse
image_115_label_airplane.png,airplane
image_116_label_airplane.png,airplane
image_117_label_frog.png,frog
image_118_label_truck.png,truck
image_119_label_automobile.png,automobile
image_120_label_bird.png,bird
image_121_label_bird.png,bird
image_122_label_truck.png,truck
image_123_label_bird.png,bird
image_124_label_frog.png,frog
image_125_label_frog.png,frog
image_126_label_automobile.png,automobile
image_127_label_truck.png,truck
image_128_label_dog.png,dog
image_129_label_airplane.png,airplane
image_130_label_deer.png,deer
image_131_label_horse.png,horse
image_132_label_frog.png,frog
image_133_label_horse.png,horse
image_134_label_automobile.png,automobile
image_135_label_ship.png,ship
image_136_label_automobile.png,automobile
image_137_label_automobile.png,automobile
image_138_label_bird.png,bird
image_139_label_ship.png,ship
image_140_label_automobile.png,automobile
image_141_label_cat.png,cat
image_142_label_cat.png,cat
image_143_label_frog.png,frog
image_144_label_bird.png,bird
image_145_label_deer.png,deer
image_146_label_truck.png,truck
image_147_label_truck.png,truck
image_148_label_dog.png,dog
image_149_label_deer.png,deer
image_150_label_cat.png,cat
image_151_label_frog.png,frog
image_152_label_horse.png,horse
image_153_label_deer.png,deer
image_154_label_frog.png,frog
image_155_label_ship.png,ship
image_156_label_dog.png,dog
image_157_label_dog.png,dog
image_158_label_deer.png,deer
image_159_label_cat.png,cat
image_160_label_automobile.png,automobile
image_161_label_ship.png,ship
image_162_label_deer.png,deer
image_163_label_horse.png,horse
image_164_label_frog.png,frog
image_165_label_airplane.png,airplane
image_166_label_truck.png,truck
image_167_label_dog.png,dog
image_168_label_automobile.png,automobile
image_169_label_cat.png,cat
image_170_label_ship.png,ship
image_171_label_bird.png,bird
image_172_label_horse.png,horse
image_173_label_dog.png,dog
image_174_label_cat.png,cat
image_175_label_deer.png,deer
image_176_label_automobile.png,automobile
image_177_label_dog.png,dog
image_178_label_horse.png,horse
image_179_label_airplane.png,airplane
image_180_label_deer.png,deer
image_181_label_horse.png,horse
image_182_label_dog.png,dog
image_183_label_dog.png,dog
image_184_label_automobile.png,automobile
image_185_label_airplane.png,airplane
image_186_label_truck.png,truck
image_187_label_frog.png,frog
image_188_label_truck.png,truck
image_189_label_airplane.png,airplane
image_190_label_ship.png,ship
image_191_label_horse.png,horse
image_192_label_ship.png,ship
image_193_label_ship.png,ship
image_194_label_bird.png,bird
image_195_label_dog.png,dog
image_196_label_bird.png,bird
image_197_label_cat.png,cat
image_198_label_dog.png,dog
image_199_label_airplane.png,airplane
image_200_label_frog.png,frog
image_201_label_automobile.png,automobile
image_202_label_truck.png,truck
image_203_label_cat.png,cat
image_204_label_frog.png,frog
image_205_label_truck.png,truck
image_206_label_automobile.png,automobile
image_207_label_cat.png,cat
image_208_label_truck.png,truck
image_209_label_frog.png,frog
image_210_label_frog.png,frog
image_211_label_horse.png,horse
image_212_label_automobile.png,automobile
image_213_label_airplane.png,airplane
image_214_label_truck.png,truck
image_215_label_dog.png,dog
image_216_label_ship.png,ship
image_217_label_dog.png,dog
image_218_label_bird.png,bird
image_219_label_truck.png,truck
image_220_label_airplane.png,airplane
image_221_label_ship.png,ship
image_222_label_ship.png,ship
image_223_label_airplane.png,airplane
image_224_label_frog.png,frog
image_225_label_truck.png,truck
image_226_label_automobile.png,automobile
image_227_label_automobile.png,automobile
image_228_label_frog.png,frog
image_229_label_cat.png,cat
image_230_label_horse.png,horse
image_231_label_frog.png,frog
image_232_label_frog.png,frog
image_233_label_airplane.png,airplane
image_234_label_frog.png,frog
image_235_label_frog.png,frog
image_236_label_automobile.png,automobile
image_237_label_horse.png,horse
image_238_label_automobile.png,automobile
image_239_label_dog.png,dog
image_240_label_ship.png,ship
image_241_label_cat.png,cat
image_242_label_frog.png,frog
image_243_label_frog.png,frog
image_244_label_ship.png,ship
image_245_label_frog.png,frog
image_246_label_ship.png,ship
image_247_label_deer.png,deer
image_248_label_frog.png,frog
image_249_label_frog.png,frog
image_250_label_automobile.png,automobile
image_251_label_cat.png,cat
image_252_label_ship.png,ship
image_253_label_cat.png,cat
image_254_label_deer.png,deer
image_255_label_automobile.png,automobile
image_256_label_horse.png,horse
image_257_label_automobile.png,automobile
image_258_label_cat.png,cat
image_259_label_ship.png,ship
image_260_label_dog.png,dog
image_261_label_automobile.png,automobile
image_262_label_automobile.png,automobile
image_263_label_deer.png,deer
image_264_label_airplane.png,airplane
image_265_label_truck.png,truck
image_266_label_cat.png,cat
image_267_label_horse.png,horse
image_268_label_deer.png,deer
image_269_label_truck.png,truck
image_270_label_truck.png,truck
image_271_label_bird.png,bird
image_272_label_deer.png,deer
image_273_label_truck.png,truck
image_274_label_truck.png,truck
image_275_label_automobile.png,automobile
image_276_label_airplane.png,airplane
image_277_label_dog.png,dog
image_278_label_truck.png,truck
image_279_label_airplane.png,airplane
image_280_label_ship.png,ship
image_281_label_bird.png,bird
image_282_label_automobile.png,automobile
image_283_label_bird.png,bird
image_284_label_airplane.png,airplane
image_285_label_dog.png,dog
image_286_label_frog.png,frog
image_287_label_cat.png,cat
image_288_label_bird.png,bird
image_289_label_horse.png,horse
image_290_label_ship.png,ship
image_291_label_ship.png,ship
image_292_label_frog.png,frog
image_293_label_airplane.png,airplane
image_294_label_horse.png,horse
image_295_label_truck.png,truck
image_296_label_deer.png,deer
image_297_label_dog.png,dog
image_298_label_frog.png,frog
image_299_label_deer.png,deer
image_300_label_bird.png,bird
image_301_label_automobile.png,automobile
image_302_label_automobile.png,automobile
image_303_label_bird.png,bird
image_304_label_automobile.png,automobile
image_305_label_dog.png,dog
image_306_label_truck.png,truck
image_307_label_truck.png,truck
image_308_label_airplane.png,airplane
image_309_label_ship.png,ship
image_310_label_deer.png,deer
image_311_label_automobile.png,automobile
image_312_label_automobile.png,automobile
image_313_label_frog.png,frog
image_314_label_cat.png,cat
image_315_label_cat.png,cat
image_316_label_truck.png,truck
image_317_label_airplane.png,airplane
image_318_label_horse.png,horse
image_319_label_truck.png,truck
image_320_label_horse.png,horse
image_321_label_horse.png,horse
image_322_label_truck.png,truck
image_323_label_automobile.png,automobile
image_324_label_dog.png,dog
image_325_label_automobile.png,automobile
image_326_label_frog.png,frog
image_327_label_frog.png,frog
image_328_label_ship.png,ship
image_329_label_horse.png,horse
image_330_label_automobile.png,automobile
image_331_label_cat.png,cat
image_332_label_airplane.png,airplane
image_333_label_cat.png,cat
image_334_label_cat.png,cat
image_335_label_bird.png,bird
image_336_label_deer.png,deer
image_337_label_dog.png,dog
image_338_label_horse.png,horse
image_339_label_dog.png,dog
image_340_label_truck.png,truck
image_341_label_airplane.png,airplane
image_342_label_cat.png,cat
image_343_label_deer.png,deer
image_344_label_airplane.png,airplane
image_345_label_deer.png,deer
image_346_label_deer.png,deer
image_347_label_frog.png,frog
image_348_label_airplane.png,airplane
image_349_label_airplane.png,airplane
image_350_label_frog.png,frog
image_351_label_frog.png,frog
image_352_label_airplane.png,airplane
image_353_label_ship.png,ship
image_354_label_automobile.png,automobile
image_355_label_frog.png,frog
image_356_label_bird.png,bird
image_357_label_truck.png,truck
image_358_label_bird.png,bird
image_359_label_dog.png,dog
image_360_label_truck.png,truck
image_361_label_frog.png,frog
image_362_label_horse.png,horse
image_363_label_deer.png,deer
image_364_label_automobile.png,automobile
image_365_label_ship.png,ship
image_366_label_horse.png,horse
image_367_label_cat.png,cat
image_368_label_frog.png,frog
image_369_label_truck.png,truck
image_370_label_cat.png,cat
image_371_label_airplane.png,airplane
image_372_label_deer.png,deer
image_373_label_airplane.png,airplane
image_374_label_dog.png,dog
image_375_label_automobile.png,automobile
image_376_label_airplane.png,airplane
image_377_label_cat.png,cat
image_378_label_deer.png,deer
image_379_label_ship.png,ship
image_380_label_dog.png,dog
image_381_label_deer.png,deer
image_382_label_horse.png,horse
image_383_label_bird.png,bird
image_384_label_cat.png,cat
image_385_label_truck.png,truck
image_386_label_horse.png,horse
image_387_label_frog.png,frog
image_388_label_horse.png,horse
image_389_label_automobile.png,automobile
image_390_label_deer.png,deer
image_391_label_horse.png,horse
image_392_label_airplane.png,airplane
image_393_label_automobile.png,automobile
image_394_label_horse.png,horse
image_395_label_cat.png,cat
image_396_label_automobile.png,automobile
image_397_label_ship.png,ship
image_398_label_deer.png,deer
image_399_label_deer.png,deer
image_400_label_bird.png,bird
image_401_label_airplane.png,airplane
image_402_label_bird.png,bird
image_403_label_bird.png,bird
image_404_label_airplane.png,airplane
image_405_label_airplane.png,airplane
image_406_label_truck.png,truck
image_407_label_airplane.png,airplane
image_408_label_truck.png,truck
image_409_label_frog.png,frog
image_410_label_ship.png,ship
image_411_label_bird.png,bird
image_412_label_horse.png,horse
image_413_label_horse.png,horse
image_414_label_deer.png,deer
image_415_label_airplane.png,airplane
image_416_label_cat.png,cat
image_417_label_airplane.png,airplane
image_418_label_ship.png,ship
image_419_label_truck.png,truck
image_420_label_deer.png,deer
image_421_label_bird.png,bird
image_422_label_horse.png,horse
image_423_label_bird.png,bird
image_424_label_dog.png,dog
image_425_label_bird.png,bird
image_426_label_dog.png,dog
image_427_label_automobile.png,automobile
image_428_label_truck.png,truck
image_429_label_deer.png,deer
image_430_label_ship.png,ship
image_431_label_dog.png,dog
image_432_label_automobile.png,automobile
image_433_label_horse.png,horse
image_434_label_deer.png,deer
image_435_label_deer.png,deer
image_436_label_airplane.png,airplane
image_437_label_frog.png,frog
image_438_label_truck.png,truck
image_439_label_airplane.png,airplane
image_440_label_horse.png,horse
image_441_label_ship.png,ship
image_442_label_ship.png,ship
image_443_label_truck.png,truck
image_444_label_truck.png,truck
image_445_label_cat.png,cat
image_446_label_cat.png,cat
image_447_label_deer.png,deer
image_448_label_airplane.png,airplane
image_449_label_deer.png,deer
image_450_label_dog.png,dog
image_451_label_frog.png,frog
image_452_label_frog.png,frog
image_453_label_airplane.png,airplane
image_454_label_automobile.png,automobile
image_455_label_airplane.png,airplane
image_456_label_ship.png,ship
image_457_label_airplane.png,airplane
image_458_label_deer.png,deer
image_459_label_ship.png,ship
image_460_label_ship.png,ship
image_461_label_automobile.png,automobile
image_462_label_dog.png,dog
