filename,label
image_0_label_frog.png,frog
image_1_label_truck.png,truck
image_2_label_truck.png,truck
image_3_label_deer.png,deer
image_4_label_automobile.png,automobile
image_5_label_automobile.png,automobile
image_6_label_bird.png,bird
image_7_label_horse.png,horse
image_8_label_ship.png,ship
image_9_label_cat.png,cat
image_10_label_deer.png,deer
image_11_label_horse.png,horse
image_12_label_horse.png,horse
image_13_label_bird.png,bird
image_14_label_truck.png,truck
image_15_label_truck.png,truck
image_16_label_truck.png,truck
image_17_label_cat.png,cat
image_18_label_bird.png,bird
image_19_label_frog.png,frog
image_20_label_deer.png,deer
image_21_label_cat.png,cat
image_22_label_frog.png,frog
image_23_label_frog.png,frog
image_24_label_bird.png,bird
image_25_label_frog.png,frog
image_26_label_cat.png,cat
image_27_label_dog.png,dog
image_28_label_deer.png,deer
image_29_label_airplane.png,airplane
image_30_label_airplane.png,airplane
image_31_label_truck.png,truck
image_32_label_automobile.png,automobile
image_33_label_cat.png,cat
image_34_label_deer.png,deer
image_35_label_airplane.png,airplane
image_36_label_cat.png,cat
image_37_label_horse.png,horse
image_38_label_cat.png,cat
image_39_label_cat.png,cat
image_40_label_dog.png,dog
image_41_label_bird.png,bird
image_42_label_bird.png,bird
image_43_label_horse.png,horse
image_44_label_automobile.png,automobile
image_45_label_automobile.png,automobile
image_46_label_automobile.png,automobile
image_47_label_bird.png,bird
image_48_label_bird.png,bird
image_49_label_airplane.png,airplane
image_50_label_truck.png,truck
image_51_label_dog.png,dog
image_52_label_horse.png,horse
image_53_label_truck.png,truck
image_54_label_bird.png,bird
image_55_label_bird.png,bird
image_56_label_dog.png,dog
image_57_label_bird.png,bird
image_58_label_deer.png,deer
image_59_label_cat.png,cat
image_60_label_automobile.png,automobile
image_61_label_automobile.png,automobile
image_62_label_ship.png,ship
image_63_label_bird.png,bird
image_64_label_automobile.png,automobile
image_65_label_automobile.png,automobile
image_66_label_deer.png,deer
image_67_label_truck.png,truck
image_68_label_horse.png,horse
image_69_label_ship.png,ship
image_70_label_dog.png,dog
image_71_label_truck.png,truck
image_72_label_frog.png,frog
image_73_label_horse.png,horse
image_74_label_cat.png,cat
image_75_label_automobile.png,automobile
image_76_label_truck.png,truck
image_77_label_airplane.png,airplane
image_78_label_cat.png,cat
image_79_label_automobile.png,automobile
image_80_label_cat.png,cat
image_81_label_dog.png,dog
image_82_label_deer.png,deer
image_83_label_dog.png,dog
image_84_label_horse.png,horse
image_85_label_horse.png,horse
image_86_label_deer.png,deer
image_87_label_horse.png,horse
image_88_label_truck.png,truck
image_89_label_deer.png,deer
image_90_label_bird.png,bird
image_91_label_cat.png,cat
image_92_label_ship.png,ship
image_93_label_airplane.png,airplane
image_94_label_automobile.png,automobile
image_95_label_frog.png,frog
image_96_label_automobile.png,automobile
image_97_label_automobile.png,automobile
image_98_label_deer.png,deer
image_99_label_automobile.png,automobile
image_100_label_ship.png,ship
